date,symbol,ticker,name,stages,primary_stage,stage_labels,matched_all_stages,close,change_pct,open,high,low,volume,turnover_twd,ma5,ma10,ma20,ma60,ma120,high_60,low_60,range_60_pct,avg_vol_5,avg_vol_20,vol_ratio_20,ma5_slope_pct,reasons,scanned_at
2026-09-23,1560,1560.TW,中砂,3,3,主升段,3,955.0,0.53,955.0,992.0,947.0,3302614,3153996370,906.0,828.2,769.05,716.7,672.9167,960.0,568.0,69.01,4251225,1987685,1.66,20.74,S3:多頭排列｜5MA斜率20.74%｜距60日高0.5%,2026-09-23T20:47:32
2026-09-23,1569,1569.TWO,濱川,3,3,主升段,3,63.3,-1.4,64.2,65.2,63.0,4415330,279490385,59.2,54.455,50.91,46.18,49.4362,66.4,36.35,82.67,6824614,2363245,1.87,19.09,S3:多頭排列｜5MA斜率19.09%｜距60日高4.7%,2026-09-23T20:47:41
2026-09-23,1709,1709.TW,和益,3,3,主升段,3,48.3,5.11,47.5,50.5,45.5,84386123,4075849676,43.9,40.16,37.38,30.8108,25.1679,47.4,22.1,114.48,55355140,25084795,3.36,20.54,S3:多頭排列｜5MA斜率20.54%｜距60日高-1.9%,2026-09-23T20:49:04
2026-09-23,1727,1727.TW,中華化,3,3,主升段,3,116.5,9.91,105.0,116.5,103.0,21167300,2465990450,107.3,99.04,96.57,87.2317,84.1792,109.5,61.7,77.47,13119235,6687461,3.17,18.2,S3:多頭排列｜5MA斜率18.20%｜距60日高-6.4%,2026-09-23T20:49:41
2026-09-23,2006,2006.TW,東和鋼鐵,3,3,主升段,3,85.8,-0.35,86.1,86.8,85.7,1834045,157361066,85.5,83.53,82.515,78.36,73.14,89.2,67.3,32.54,2743722,1672843,1.1,4.83,S3:多頭排列｜5MA斜率4.83%｜距60日高3.8%,2026-09-23T20:51:24
2026-09-23,2030,2030.TW,彰源,3,3,主升段,3,27.65,1.47,27.6,29.95,26.35,26737135,739281772,25.63,24.34,23.72,20.5692,19.0142,27.25,16.6,64.16,9873921,4180270,6.4,11.19,S3:多頭排列｜5MA斜率11.19%｜距60日高-1.5%,2026-09-23T20:52:11
2026-09-23,2033,2033.TW,佳大,3,3,主升段,3,37.3,0.0,39.7,40.25,36.2,5846346,218068701,34.66,30.95,28.155,21.1133,18.4629,37.3,14.45,158.13,3935216,2256728,2.59,27.24,S3:多頭排列｜5MA斜率27.24%｜距60日高0.0%,2026-09-23T20:52:18
2026-09-23,2104,2104.TW,國際中橡,3,3,主升段,3,11.65,9.91,10.65,11.65,10.65,20974633,244354466,10.83,10.63,10.495,10.3992,10.4993,11.65,9.45,23.28,6587411,3978515,5.27,3.84,S3:多頭排列｜5MA斜率3.84%｜距60日高0.0%,2026-09-23T20:53:10
2026-09-23,2221,2221.TWO,大甲,3,3,主升段,3,158.5,2.92,166.0,168.5,149.5,20003318,3170525903,139.2,117.94,100.66,67.4342,54.1213,154.0,42.1,265.8,9310279,6357290,3.15,43.98,S3:多頭排列｜5MA斜率43.98%｜距60日高-2.9%,2026-09-23T20:53:47
2026-09-23,2330,2330.TW,台積電,3,3,主升段,3,2500.0,1.63,2475.0,2505.0,2475.0,20406553,51016382500,2465.0,2433.0,2429.25,2400.8333,2323.375,2510.0,2180.0,15.14,21052647,18726393,1.09,2.67,S3:多頭排列｜5MA斜率2.67%｜距60日高0.4%,2026-09-23T20:55:02
2026-09-23,2409,2409.TW,友達,3,3,主升段,3,34.7,-5.32,36.65,36.65,33.4,945499807,32808844024,33.01,31.245,29.2575,27.4075,24.7613,36.65,22.0,66.59,727175855,417958831,2.26,11.97,S3:多頭排列｜5MA斜率11.97%｜距60日高5.3%,2026-09-23T20:57:19
2026-09-23,2845,2845.TW,遠東銀,1,1,潛伏期,1,13.35,-1.11,13.55,13.55,13.35,6692966,89351098,13.54,13.58,13.5231,13.2911,12.8057,13.85,12.6983,9.07,7352310,15466856,0.43,-0.59,S1:60日震盪9.1%｜5日量/20日量=0.48｜區間位置57%,2026-09-23T21:04:03
2026-09-23,2855,2855.TW,統一證,3,3,主升段,3,57.7,1.41,57.3,59.4,56.9,5658953,326521592,55.54,53.73,52.02,48.2183,45.4633,59.7,39.7,50.38,7043920,5197644,1.09,6.97,S3:多頭排列｜5MA斜率6.97%｜距60日高3.4%,2026-09-23T21:04:17
2026-09-23,2915,2915.TW,潤泰全,3,3,主升段,3,60.1,1.35,59.6,60.3,59.3,2224963,133720272,59.26,58.0,57.585,55.0883,50.9167,62.5,50.1,24.75,2041178,1883525,1.18,4.44,S3:多頭排列｜5MA斜率4.44%｜距60日高3.8%,2026-09-23T21:05:12
2026-09-23,3016,3016.TW,嘉晶,3,3,主升段,3,145.5,9.81,145.0,145.5,141.5,30665620,4461847710,126.1,118.8,109.79,106.8636,105.356,143.0,72.7,96.7,21527787,12899192,2.38,13.09,S3:多頭排列｜5MA斜率13.09%｜距60日高-1.7%,2026-09-23T21:06:13
2026-09-23,3037,3037.TW,欣興,3,3,主升段,3,1160.0,3.57,1120.0,1200.0,1115.0,21875541,25375627560,1044.2,1007.4,1001.4,956.5833,913.025,1230.0,653.0,88.36,15477763,21878515,1.0,7.58,S3:多頭排列｜5MA斜率7.58%｜距60日高5.7%,2026-09-23T21:07:03
2026-09-23,3044,3044.TW,健鼎,3,3,主升段,3,543.0,0.74,541.0,547.0,525.0,2830696,1537067928,525.2,514.15,503.8,457.1,468.2417,545.0,327.0,66.67,3526347,2834785,1.0,4.39,S3:多頭排列｜5MA斜率4.39%｜距60日高0.4%,2026-09-23T21:07:18
2026-09-23,3055,3055.TW,蔚華科,3,3,主升段,3,203.5,-1.45,206.5,226.0,200.5,24648680,5016006380,186.0,172.55,153.15,139.4783,115.3175,206.5,87.8,135.19,8022405,6021620,4.09,16.91,S3:多頭排列｜5MA斜率16.91%｜距60日高1.5%,2026-09-23T21:07:44
2026-09-23,3094,3094.TW,聯傑,3,3,主升段,3,54.3,3.23,53.0,57.8,51.6,27035005,1468000750,52.48,47.6,44.6725,39.7225,35.7054,56.8,29.6,91.89,15856804,9752967,2.77,22.85,S3:多頭排列｜5MA斜率22.85%｜距60日高4.4%,2026-09-23T21:08:40
